CID,SMILES
10026486,CC(=O)OCC(CC1=CC=CC=C1)NC(=O)C(CC2=CC=CC=C2)NC(=O)C3=CC=CC=C3
10104370,CC1=CCC(CC1)C(=C)CCC=C(C)C
101286238,C(C(C(C(C(C=O)O)O)O)O)OC1C(C(C(C(O1)C(=O)O)O)O)O
10168,C1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)C(=O)O
10207,C1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)CO
10208,CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=CC=C3O
10225,CC1=CC2=C(C=CC(=C2C=C1)C)C(C)C
10248,COC1=CC(=CC(=C1OC)OC)CC=C
10364,CC1=C(C=C(C=C1)C(C)C)O
10466745,CC(C)C1CCC(C2C1C(CC2)C(=O)C)(C)O
10659,COC1=C2C(=C(C(=C1)CC=C)OC)OCO2
108065,COC1=C(C=C(C=C1O)C2C(CC3=C(O2)C(=C(C=C3O)O)C4C(C(OC5=CC(=CC(=C45)O)O)C6=CC=C(C=C6)O)O)O)O
10856614,CC1=CCCC2(C1CC(CC2)C(=C)C)C
10910653,CC1CCC2=C(CCC3C(C12)C3(C)C)C
10975,CC(C)(CCCC(=C)C=C)O
11276107,CC1CCC(C2C13C2C(CC3)(C)O)C(C)C
11996452,CC1CCC2C1C3C(C3(C)C)CCC2(C)O
12046149,CC1CCC(C2C1(CCC(=C2)C)O)C(C)C
121719,CC1(C2CC1C(=C)C(=O)C2)C
12302243,CC1=CCC(C2=C1C=CC(=C2)C)C(C)C
12306047,CC1=CC2C(CC1)C(=CCC2C(C)C)C
12308714,CC(=O)OC1CC2C(C(=O)C=CC2(C3C1(C4=CC(=O)C(C4(CC3)C)C5=COC=C5)C)C)(C)C
12309055,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)OC5C(C(C(C(O5)CO)O)O)O)C)C)C(C)C
124017,C1C(C(OC2=C1C(=C(C(=C2)O)C3C(C(OC4=CC(=CC(=C34)O)O)C5=CC(=C(C=C5)O)O)O)O)C6=CC(=C(C=C6)O)O)O
1252759,CC1=CCC(C1(C)C)CC=O
12921,CCCCCCCCC1=C(C1)CCCCCCCC(=O)O
13894537,CC1=CCCC(=CC2C(C2(C)C)CC1)C
1549026,CC(=CCCC(=CCOC(=O)C)C)C
1549095,COC1=C(C=CC(=C1)C=CCO)O
15558323,CC(=CCC1=C(C(=C(C=C1O)O)C(=O)C)OC)C
159969,CC(C)CC(C1=C(C(=C(C(=C1O)CC=C(C)C)O)C(=O)C)O)C2=C(C(=C(C(=C2O)CC=C(C)C)OC)C(=O)C)O
17100,CC1=CCC(CC1)C(C)(C)O
1742210,CC1(CC2C1CCC3(C(O3)CCC2=C)C)C
18950,C(C1C(C(C(C(O1)O)O)O)O)O
222284,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C
22311,CC1=CCC(CC1)C(=C)C
2355,COC1=C2C=CC(=O)OC2=CC3=C1C=CO3
26049,CC1=CCC2C(C1)C2(C)C
261491,CC1C2CC2(CC1=O)C(C)C
2703,C[N+]1=C2C(=C3C=CC(=C(C3=C1)OC)OC)C=CC4=CC5=C(C=C42)OCO5
323,C1=CC=C2C(=C1)C=CC(=O)O2
370,C1=C(C=C(C(=C1O)O)O)C(=O)O
40539,C(C(C(=O)O)N)N1C(=O)NC(=O)O1
42608158,CC1CCC2C1C3C(C3(C)C)CCC2=C
4276,COC1=CC(=CC2=C1OCO2)CC=C
442009,CC(C)C1=C(C(=C2C(=C1)C3CC4C2(CCCC4(C)C)C(=O)O3)O)O
442343,CC1=CCC(CC1)C(C)(CCC=C(C)C)O
442402,CC1=CCC2(CCCC(C23C1C3)(C)C)C
442495,CC1CCC(=C(C)C)C(=O)C1
443639,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC=C(C=C3)O)O
444170,C1=CC(=NC(=C1)C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O
445070,CC(=CCCC(=CCCC(=CCO)C)C)C
445639,CCCCCCCCC=CCCCCCCCC(=O)O
5144,C=CCC1=CC2=C(C=C1)OCO2
5280343,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O
5280378,COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O
5280441,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)C4C(C(C(C(O4)CO)O)O)O)O
5280443,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O
5280445,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O
5280460,COC1=C(C=C2C(=C1)C=CC(=O)O2)O
5280794,CCC(C=CC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C
5280804,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O)O
5280805,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O
5280863,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O
5280961,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O
5281520,CC1=CCC(C=CCC(=CCC1)C)(C)C
5281553,CC(=CCC=C(C)C=C)C
5281643,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O)O
5281672,C1=C(C=C(C(=C1O)O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O
5282102,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O
5284421,CCCCCC=CCC=CCCCCCCCC(=O)OC
5311264,CC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)O
5316673,CC1C(C(C(C(O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC=C(C=C4)O)O)O)O
5317319,CC(=CCCC(=CCCC(=C)C=C)C)C
5352470,CC1=CCCC2(C(O2)CC(C=CC1)(C)C)C
5460291,C(C(C(C(C=O)O)O)O)O
5570,C[N+]1=CC=CC(=C1)C(=O)[O-]
61166,CCC(=O)OCC1=CC=CO1
61290,CC(CCC=C(C)C)CC(=O)OC
6251,C(C(C(C(C(CO)O)O)O)O)O
636543,COC1=C(C=CC(=C1)C=CC(=O)NCCC2=CC=C(C=C2)O)OC(CO)C(C3=CC(=C(C=C3)O)OC)O
637542,C1=CC(=CC=C1C=CC(=O)O)O
637566,CC(=CCCC(=CCO)C)C
638011,CC(=CCCC(=CC=O)C)C
643820,CC(=CCCC(=CCO)C)C
6451618,CC1=CCC2(C1C2)C(C)C
6452077,CC(C)C1CCC2(CCCC(=C)C2C1O)C
6549,CC(=CCCC(C)(C=C)O)C
6616,CC1(C2CCC(C2)C1=C)C
6654,CC1=CCC2CC1C2(C)C
66948,C=C1C=CC(=O)O1
68316,CC(=CCCC1=COC=C1)C
6987,CC1=CC(=O)C(CC1)C(C)C
6989,CC1=CC(=C(C=C1)C(C)C)O
7127,COC1=C(C=C(C=C1)CC=C)OC
72326,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)CO
72936,CC(=CCC(CC1=C2C(=C(C=C1O)O)C(=O)CC(O2)C3=C(C=C(C=C3)O)O)C(=C)C)C
73170,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1C)C)C
73568,C1C2C(C(C(C(O2)OC(=O)C3=CC(=C(C(=C3)O)O)O)O)OC(=O)C4=CC(=C(C(=C4C5=C(C(=C(C=C5C(=O)O1)O)O)O)O)O)O)O
7410,CC(=O)C1=CC=CC=C1
7463,CC1=CC=C(C=C1)C(C)C
7519,COC1=CC=CC=C1
7650,CCCC(=O)OCC1=CC=CC=C1
7794,CC(CCC=C(C)C)CC=O
79035,CC1(C2CC3C1(C3C2)C)C
8207,CCCCCCCCCCCCCO
8468,COC1=C(C=CC(=C1)C(=O)O)O
8815,COC1=CC=C(C=C1)CC=C
90785,CC1CCC2=C(CCC(CC12)C(C)(C)O)C
91354,CC1CCC2C1C3C(C3(C)C)CCC2=C
92097,CC1(CCC2(CC=C3C4(CCC5C(C(CCC5(C4CCC3(C2C1)C)C)O)(C)C)C)C)C
92139,CC1=CC=C(C=C1)C(C)CCC=C(C)C
92231,CC1(C2C1C3C(CCC3(C)O)C(=C)CC2)C
971,C(=O)(C(=O)O)O
985,CCCCCCCCCCCCCCCC(=O)O
